Student ID      Student Name      Course Code      Final Grade
----------------------------------------------------------------
306851690      Bevan Morton        CP460           70.4
413787382      Markus Cote         CP164           75.8
454730171      Elouise Kouma       CP414           79.0
620731804      Rudy Begum          MA200           67.8
185598260      Reilly Woodward     BU111           78.0
150295440      Abdurrahman Person  ST259           84.2
241905753      Emme Blackmore      ST260           75.2
423091466      Zena Webster        MA370           75.6
229922406      Zaynah Alfaro       EC120           73.4
440254806      Bethanie Oliver     BU415           75.0
422078053      Deon Haynes         BI110           81.8
399463559      Leoni Stamp         BI111           60.8
237711821      Saara Beattie       PS262           83.2
362937206      Brenden Bray        PS263           82.0
510661066      Ebrahim Lloyd       BU352           81.8
113820457      Emre Lowry          ST494           68.6
580228531      Lincoln Bowler      CP372           66.6
229922406      Zaynah Alfaro       CP317           65.4
241905753      Emme Blackmore      CP460           69.0
260735737      Jazmin Foreman      CP164           82.4
399463559      Leoni Stamp         CP414           76.2
500461394      Emily Hale          MA200           82.0
580228531      Lincoln Bowler      BU111           75.4
500461394      Emily Hale          ST259           72.0
259607962      Rylee Lacey         ST260           62.6
591930318      Ignacy Ferguson     MA370           73.0
172348496      Maggie Barnard      EC120           75.0
413787382      Markus Cote         BU415           63.8
260735737      Jazmin Foreman      BI110           83.8
150295440      Abdurrahman Person  BI111           77.4
259607962      Rylee Lacey         PS262           79.4
642176077      Teddy Hyde          PS263           76.8
185598260      Reilly Woodward     BU352           86.6
119616823      Mehreen Franks      ST494           72.2
453032915      Kaydee Broadhurst   CP372           80.2
362937206      Brenden Bray        CP317           70.6
119616823      Mehreen Franks      CP460           65.6
453032915      Kaydee Broadhurst   CP164           70.4
440254806      Bethanie Oliver     CP414           62.6
172348496      Maggie Barnard      MA200           64.2
422078053      Deon Haynes         BU111           87.2
113820457      Emre Lowry          ST259           62.4
510661066      Ebrahim Lloyd       ST260           82.4
237711821      Saara Beattie       MA370           66.6
306851690      Bevan Morton        EC120           59.8
454730171      Elouise Kouma       BU415           66.4
642176077      Teddy Hyde          BI110           69.0
591930318      Ignacy Ferguson     BI111           76.4
423091466      Zena Webster        PS262           63.8
620731804      Rudy Begum          PS263           69.4
